run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,82,0,1,0.000000,31.325301,42.168675,10.843373,10.843373,3.614458,0.000000,0.000000,0.000000,0.000000,1.204819,13,55,85.714286,6
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,61,0,1,6.451613,33.870968,20.967742,12.903226,9.677419,11.290323,3.225806,0.000000,0.000000,0.000000,1.612903,24,17,94.117647,2
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,61,0,1,0.000000,45.161290,37.096774,6.451613,3.225806,4.838710,1.612903,0.000000,0.000000,0.000000,1.612903,12,17,88.235294,7
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,146,0,0,3.424658,26.027397,33.561644,15.068493,17.123288,3.424658,1.369863,0.000000,0.000000,0.000000,0.000000,18,84,97.619048,3
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,146,0,0,0.000000,34.246575,38.356164,10.273973,13.013699,2.739726,1.369863,0.000000,0.000000,0.000000,0.000000,14,84,95.238095,4
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,A,S,22,0,0,22.727273,40.909091,22.727273,4.545455,0.000000,4.545455,0.000000,4.545455,0.000000,0.000000,0.000000,17,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,22,0,0,0.000000,36.363636,36.363636,9.090909,4.545455,9.090909,0.000000,4.545455,0.000000,0.000000,0.000000,27,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,A,S,14,0,0,7.142857,21.428571,7.142857,14.285714,21.428571,21.428571,7.142857,0.000000,0.000000,0.000000,0.000000,41,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,D,S,14,0,0,0.000000,14.285714,28.571429,0.000000,21.428571,28.571429,7.142857,0.000000,0.000000,0.000000,0.000000,45,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,41,0,2,9.302326,23.255814,20.930233,16.279070,16.279070,9.302326,0.000000,0.000000,0.000000,0.000000,4.651163,21,39,72.000000,4
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,D,S,45,0,2,0.000000,25.531915,38.297872,10.638298,14.893617,4.255319,2.127660,0.000000,0.000000,0.000000,4.255319,18,39,66.666667,5
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,A,S,20,0,2,0.000000,31.818182,27.272727,0.000000,4.545455,9.090909,18.181818,0.000000,0.000000,0.000000,9.090909,39,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,D,S,21,0,1,0.000000,31.818182,27.272727,4.545455,13.636364,0.000000,18.181818,0.000000,0.000000,0.000000,4.545455,37,0,0.000000,
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,20,78.260870,5
22/07/2022 16:26,202205,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,13,85.714286,7
